imdbId,Imdb Link,Title,IMDB Score,Genre,Poster
114709,http://www.imdb.com/title/tt114709,Toy Story (1995),8.3,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UX182_CR0,0,182,268_AL_.jpg"
113497,http://www.imdb.com/title/tt113497,Jumanji (1995),6.9,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
112302,http://www.imdb.com/title/tt112302,Tom and Huck (1995),5.6,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNDYzMDY1OV5BMl5BanBnXkFtZTcwNDA2MzYxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
113189,http://www.imdb.com/title/tt113189,GoldenEye (1995),7.2,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
112453,http://www.imdb.com/title/tt112453,Balto (1995),7.1,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UX182_CR0,0,182,268_AL_.jpg"
112760,http://www.imdb.com/title/tt112760,Cutthroat Island (1995),5.6,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDg2YTI0YmQtYzgwMi00Zjk4LWJkZjgtYjg0ZDE2ODUzY2RlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UX182_CR0,0,182,268_AL_.jpg"
112281,http://www.imdb.com/title/tt112281,Ace Ventura: When Nature Calls (1995),6.3,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
114952,http://www.imdb.com/title/tt114952,Wings of Courage (1995),6.5,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3ODY1MjA3OF5BMl5BanBnXkFtZTcwODgzOTgyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
112286,http://www.imdb.com/title/tt112286,Across the Sea of Time (1995),6.4,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTIwMzk1MDc1MF5BMl5BanBnXkFtZTcwMTEzNDkyMQ@@._V1_UY268_CR43,0,182,268_AL_.jpg"
113855,http://www.imdb.com/title/tt113855,Mortal Kombat (1995),5.8,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzJhYjYxMTctNmY4My00NGIzLThmN2MtYjgwMjlmZWNjMTJlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
114148,http://www.imdb.com/title/tt114148,Pocahontas (1995),6.7,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg"
113541,http://www.imdb.com/title/tt113541,Kids of the Round Table (1995),5.0,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTEwMTM0MzI3OTheQTJeQWpwZ15BbWU3MDQzNTQ2MTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
118158,http://www.imdb.com/title/tt118158,White Squall (1996),6.6,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NjIzMTI5OV5BMl5BanBnXkFtZTcwMjY0MzAyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
116151,http://www.imdb.com/title/tt116151,Dunston Checks In (1996),5.3,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BN2RhOTA4YzAtNTg3NC00NmYxLWI1YjQtYzM4NTJlYzVhZGYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
117110,http://www.imdb.com/title/tt117110,Muppet Treasure Island (1996),6.9,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NDU1MDYxMl5BMl5BanBnXkFtZTcwNjgyMTEzMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
117427,http://www.imdb.com/title/tt117427,Race the Sun (1996),5.3,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDQ2ZGJlOTAtMmM1Yi00MGNlLWIwMDgtMzkzNTA1NWU3YzhiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
110647,http://www.imdb.com/title/tt110647,The Neverending Story III (1994),3.1,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTAxMjY5OTg1MjJeQTJeQWpwZ15BbWU3MDk4MTgzMjE@._V1_UY268_CR2,0,182,268_AL_.jpg"
112342,http://www.imdb.com/title/tt112342,The Amazing Panda Adventure (1995),5.8,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzM2MjM0MzI3OF5BMl5BanBnXkFtZTcwOTc2MDcxMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg"
112384,http://www.imdb.com/title/tt112384,Apollo 13 (1995),7.6,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjEzYjJmNzgtNDkwNy00MTQ4LTlmMWMtNzA4YjE2NjI0ZDg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
114287,http://www.imdb.com/title/tt114287,Rob Roy (1995),6.9,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2NTU2ODI0MV5BMl5BanBnXkFtZTcwNTIwODU2NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
112462,http://www.imdb.com/title/tt112462,Batman Forever (1995),5.4,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BNWY3M2I0YzItNzA1ZS00MzE3LThlYTEtMTg2YjNiOTYzODQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
112715,http://www.imdb.com/title/tt112715,Congo (1995),5.1,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMmQ2YWFjZGItMTNiZi00ZDFmLWE3ZTAtNTZiZTI5ZjBjYzlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
112864,http://www.imdb.com/title/tt112864,Die Hard with a Vengeance (1995),7.6,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjI0ZWFiMmQtMjRlZi00ZmFhLWI4NmYtMjQ5YmY0MzIyMzRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
113071,http://www.imdb.com/title/tt113071,First Knight (1995),5.9,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BOGUyZmJmM2MtMDNlZC00ZDU0LWIwODQtNGFmOWJjZjk5ZThhXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg"
113114,http://www.imdb.com/title/tt113114,Free Willy 2: The Adventure Home (1995),4.9,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BZWY3OWY3MjUtN2E3NS00M2RkLWI5MWUtMmI4MjQ0MjFmZjM2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
113820,http://www.imdb.com/title/tt113820,Mighty Morphin Power Rangers: The Movie (1995),5.1,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3NDc4MjU2NV5BMl5BanBnXkFtZTcwNzY4NjUyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
114898,http://www.imdb.com/title/tt114898,Waterworld (1995),6.1,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BYzE4NTRmMDYtNWYzYi00YmNkLTk4NDEtYjFmMDc4ODQ3ODY2XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg"
