imdbId,Imdb Link,Title,IMDB Score,Genre,Poster
87015,http://www.imdb.com/title/tt87015,C.H.U.D. (1984),5.5,Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzVlODkxY2YtNTliMC00MmQwLTkzNmQtYzM5ZGNiZDlmNTU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
32285,http://www.imdb.com/title/tt32285,Brother Orchid (1940),7.1,Crime,"https://images-na.ssl-images-amazon.com/images/M/MV5BZDk2MjMyNzEtNWVkOS00MGRhLThhMzktYzllZGFjMGU3ZGY1XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_UX182_CR0,0,182,268_AL_.jpg"
81036,http://www.imdb.com/title/tt81036,The Lathe of Heaven (1980),7.2,Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3ODkwMzkzMF5BMl5BanBnXkFtZTcwNTEyOTAyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
1711366,http://www.imdb.com/title/tt1711366,Dead Space: Aftermath (2011),5.5,Sci-Fi|Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTU4MTQxOTQzNF5BMl5BanBnXkFtZTcwMDY4NTQyNA@@._V1_UY268_CR3,0,182,268_AL_.jpg"
283900,http://www.imdb.com/title/tt283900,L'auberge espagnole (2002),7.3,Romance,"https://images-na.ssl-images-amazon.com/images/M/MV5BODQzMDY4NTkwNV5BMl5BanBnXkFtZTcwNjEyNDYyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
109219,http://www.imdb.com/title/tt109219,Barcelona (1994),7.0,Drama|Romance|Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BNWU2YzE2YzctNDg1OS00ZDdhLWI3M2ItYWY1MzExZjlmOGM5XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY268_CR1,0,182,268_AL_.jpg"
98115,http://www.imdb.com/title/tt98115,Prancer (1989),6.3,Drama|Fantasy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyOTgyNjk3N15BMl5BanBnXkFtZTcwMTMwOTc2NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
116015,http://www.imdb.com/title/tt116015,Non-Stop (1996),7.1,Action|Crime,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxMjU5MjEwOF5BMl5BanBnXkFtZTYwNjA3NDg5._V1_UX182_CR0,0,182,268_AL_.jpg"
1891905,http://www.imdb.com/title/tt1891905,Sea Level (2011),4.5,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTQ0MjgxOTc3N15BMl5BanBnXkFtZTcwNzY4ODg4OA@@._V1_UY268_CR2,0,182,268_AL_.jpg"
54047,http://www.imdb.com/title/tt54047,The Magnificent Seven (1960),7.8,Action|Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzYyNzU0MTM1OF5BMl5BanBnXkFtZTcwMzE1ODE1NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
116041,http://www.imdb.com/title/tt116041,The Daytrippers (1996),6.9,Drama|Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4ODM1OTM0Ml5BMl5BanBnXkFtZTcwNjcwODAyMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg"
